wall_time,elapsed_s,mode,roll_deg,pitch_deg,yaw_deg,speed_mps,accel_g,gyro_dps,stationary,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,alerts
1783262888.884,0.000,bend_pickup,0.07,-18.70,31.16,0.69,1.01,2.38,1,0.33,0.00,0.96,0.00,-2.32,0.55,
1783262888.901,0.018,bend_pickup,0.07,-18.75,31.18,0.69,1.01,2.43,1,0.33,0.00,0.95,0.12,-2.20,1.04,
1783262888.921,0.038,bend_pickup,0.07,-18.80,31.21,0.69,1.01,2.48,1,0.33,0.00,0.95,0.30,-2.13,1.22,
1783262888.941,0.058,bend_pickup,0.07,-18.84,31.24,0.69,1.01,2.75,1,0.32,0.01,0.95,0.37,-2.26,1.52,
1783262888.961,0.078,bend_pickup,0.07,-18.88,31.27,0.68,1.01,2.74,1,0.33,-0.00,0.96,0.55,-2.07,1.71,
1783262888.981,0.098,bend_pickup,0.05,-18.92,31.31,0.69,1.02,2.96,1,0.33,-0.01,0.97,0.61,-2.38,1.65,
1783262889.001,0.118,bend_pickup,0.05,-18.97,31.33,0.69,1.02,2.76,1,0.33,-0.00,0.97,0.55,-2.50,1.04,
1783262889.021,0.138,bend_pickup,0.05,-19.03,31.34,0.69,1.01,2.81,1,0.33,0.00,0.95,0.24,-2.74,0.55,
1783262889.041,0.158,bend_pickup,0.05,-19.10,31.35,0.68,1.01,2.65,1,0.34,-0.00,0.95,0.30,-2.62,0.18,
1783262889.061,0.178,bend_pickup,0.05,-19.16,31.35,0.68,1.01,2.06,1,0.35,-0.00,0.95,0.61,-1.95,0.24,
1783262889.081,0.198,bend_pickup,0.06,-19.20,31.37,0.68,1.01,1.60,1,0.35,-0.00,0.95,0.79,-1.22,0.67,
1783262889.101,0.218,bend_pickup,0.07,-19.23,31.39,0.68,1.01,1.91,1,0.34,-0.00,0.95,0.98,-1.16,1.16,
1783262889.121,0.238,bend_pickup,0.08,-19.26,31.43,0.67,1.01,2.50,1,0.33,0.00,0.95,1.16,-1.34,1.77,
1783262889.141,0.258,bend_pickup,0.09,-19.28,31.48,0.67,1.01,2.90,1,0.33,0.01,0.95,1.10,-1.46,2.26,
1783262889.161,0.278,bend_pickup,0.10,-19.31,31.54,0.67,1.01,3.66,0,0.34,0.00,0.95,1.46,-1.40,3.05,
1783262889.181,0.298,bend_pickup,0.10,-19.35,31.61,0.67,1.01,3.90,0,0.34,-0.00,0.95,1.40,-1.40,3.35,
1783262889.201,0.318,bend_pickup,0.09,-19.38,31.69,0.67,1.02,4.18,0,0.34,-0.01,0.96,1.52,-1.16,3.72,
1783262889.221,0.338,bend_pickup,0.09,-19.40,31.77,0.67,1.01,4.46,0,0.34,-0.01,0.95,1.83,-1.16,3.90,
1783262889.241,0.358,bend_pickup,0.09,-19.42,31.85,0.66,1.01,4.18,0,0.33,-0.00,0.95,1.89,-0.98,3.60,
1783262889.261,0.378,bend_pickup,0.09,-19.43,31.92,0.66,1.01,3.77,0,0.33,-0.00,0.95,1.59,-0.67,3.35,
1783262889.281,0.398,bend_pickup,0.09,-19.44,31.99,0.66,1.01,3.65,0,0.33,-0.01,0.95,1.65,-0.73,3.17,
1783262889.301,0.418,bend_pickup,0.09,-19.44,32.04,0.66,1.01,3.12,0,0.33,-0.01,0.95,1.46,-0.61,2.68,
1783262889.321,0.438,bend_pickup,0.09,-19.45,32.10,0.66,1.01,3.16,0,0.33,-0.01,0.96,1.71,-0.73,2.56,
1783262889.341,0.458,bend_pickup,0.09,-19.46,32.15,0.65,1.01,2.84,1,0.33,-0.01,0.96,1.52,-0.79,2.26,
1783262889.361,0.478,bend_pickup,0.09,-19.46,32.18,0.65,1.01,2.45,1,0.33,-0.01,0.96,1.46,-0.73,1.83,
1783262889.381,0.498,bend_pickup,0.09,-19.46,32.21,0.66,1.01,1.96,1,0.33,-0.02,0.95,1.34,-0.73,1.22,
1783262889.401,0.518,bend_pickup,0.09,-19.48,32.22,0.66,1.01,1.70,1,0.34,-0.01,0.95,1.34,-0.85,0.61,
1783262889.421,0.538,bend_pickup,0.10,-19.49,32.22,0.65,1.01,1.37,1,0.34,-0.01,0.95,1.22,-0.61,-0.12,
1783262889.441,0.558,bend_pickup,0.12,-19.49,32.21,0.65,1.01,1.36,1,0.33,-0.00,0.96,1.16,-0.37,-0.61,
1783262889.461,0.578,bend_pickup,0.14,-19.49,32.19,0.65,1.01,1.29,1,0.33,-0.00,0.96,0.98,-0.43,-0.73,
1783262889.481,0.598,bend_pickup,0.17,-19.49,32.18,0.65,1.01,1.23,1,0.33,0.00,0.96,0.85,-0.49,-0.73,
1783262889.501,0.618,bend_pickup,0.20,-19.49,32.17,0.65,1.01,1.01,1,0.33,0.01,0.96,0.73,-0.55,-0.43,
1783262889.521,0.638,bend_pickup,0.21,-19.49,32.17,0.64,1.02,0.90,1,0.33,0.01,0.96,0.67,-0.55,0.24,
1783262889.541,0.658,bend_pickup,0.22,-19.49,32.19,0.65,1.02,1.35,1,0.33,-0.00,0.96,1.04,-0.55,0.67,
1783262889.561,0.678,bend_pickup,0.24,-19.49,32.21,0.65,1.01,1.60,1,0.32,0.01,0.96,1.04,-0.73,0.98,
1783262889.581,0.698,bend_pickup,0.26,-19.51,32.23,0.65,1.01,2.02,1,0.33,0.01,0.96,0.73,-1.65,0.91,
1783262889.601,0.718,bend_pickup,0.27,-19.53,32.25,0.65,1.01,1.77,1,0.34,0.01,0.96,0.37,-1.28,1.16,
1783262889.621,0.738,bend_pickup,0.27,-19.56,32.28,0.65,1.00,2.05,1,0.34,0.01,0.94,0.49,-1.28,1.52,
1783262889.641,0.758,bend_pickup,0.27,-19.58,32.32,0.64,1.00,1.80,1,0.34,0.00,0.94,0.61,-0.73,1.52,
1783262889.661,0.778,bend_pickup,0.26,-19.59,32.35,0.64,1.01,1.86,1,0.34,-0.00,0.95,0.79,-0.55,1.59,
1783262889.681,0.798,bend_pickup,0.26,-19.59,32.38,0.64,1.01,1.47,1,0.33,0.00,0.95,0.43,-0.43,1.34,
1783262889.701,0.818,bend_pickup,0.26,-19.60,32.41,0.64,1.01,1.61,1,0.34,0.00,0.96,0.43,-0.67,1.40,
1783262889.721,0.838,bend_pickup,0.25,-19.62,32.44,0.64,1.01,1.48,1,0.34,0.00,0.95,0.30,-0.55,1.34,
1783262889.741,0.858,bend_pickup,0.25,-19.63,32.46,0.63,1.01,1.34,1,0.34,0.00,0.95,0.43,-0.37,1.22,
1783262889.761,0.878,bend_pickup,0.25,-19.63,32.49,0.63,1.01,1.27,1,0.34,0.00,0.96,0.37,0.00,1.22,
1783262889.781,0.898,bend_pickup,0.24,-19.63,32.51,0.00,1.01,1.15,1,0.34,0.00,0.96,0.24,-0.24,1.10,
1783262889.801,0.918,bend_pickup,0.24,-19.63,32.54,0.00,1.02,1.49,1,0.34,0.00,0.96,0.37,-0.55,1.34,
1783262889.821,0.938,bend_pickup,0.23,-19.64,32.57,0.00,1.02,1.40,1,0.34,0.00,0.96,0.30,-0.61,1.22,
1783262889.841,0.958,bend_pickup,0.23,-19.65,32.59,0.00,1.01,1.32,1,0.34,0.00,0.95,0.18,-0.61,1.16,
