wall_time,elapsed_s,mode,roll_deg,pitch_deg,yaw_deg,speed_mps,accel_g,gyro_dps,stationary,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,alerts
1783262409.063,0.000,hunch,4.12,-24.89,36.63,0.05,1.01,2.19,1,0.43,0.07,0.92,-0.61,1.83,-1.04,
1783262409.081,0.018,hunch,4.11,-24.86,36.62,0.05,1.01,1.99,1,0.43,0.07,0.91,-0.73,1.77,-0.55,
1783262409.101,0.038,hunch,4.09,-24.82,36.62,0.05,1.01,1.95,1,0.42,0.06,0.91,-0.61,1.83,-0.30,
1783262409.121,0.058,hunch,4.07,-24.79,36.61,0.05,1.01,1.76,1,0.43,0.05,0.91,-0.30,1.71,-0.30,
1783262409.141,0.078,hunch,4.06,-24.76,36.59,0.05,1.01,1.88,1,0.42,0.06,0.92,-0.37,1.52,-1.04,
1783262409.161,0.098,hunch,4.06,-24.73,36.57,0.05,1.01,1.44,1,0.41,0.06,0.92,-0.43,0.98,-0.98,
1783262409.181,0.118,hunch,4.05,-24.72,36.55,0.05,1.02,1.17,1,0.42,0.06,0.92,-0.55,0.49,-0.91,
1783262409.201,0.138,hunch,4.04,-24.70,36.54,0.05,1.01,1.03,1,0.42,0.06,0.92,-0.37,0.55,-0.79,
1783262409.221,0.158,hunch,4.03,-24.69,36.51,0.05,1.01,1.15,1,0.42,0.05,0.92,-0.18,0.30,-1.10,
1783262409.241,0.178,hunch,4.03,-24.68,36.47,0.00,1.01,1.79,1,0.42,0.06,0.92,-0.24,0.06,-1.77,
1783262409.261,0.198,hunch,4.04,-24.68,36.43,0.00,1.01,1.90,1,0.42,0.06,0.92,-0.18,-0.49,-1.83,
1783262409.281,0.218,hunch,4.05,-24.69,36.39,0.00,1.01,1.93,1,0.42,0.06,0.92,-0.30,-0.85,-1.71,
1783262409.301,0.238,hunch,4.06,-24.71,36.36,0.00,1.02,2.23,1,0.42,0.07,0.93,-0.37,-1.52,-1.59,
1783262409.321,0.258,hunch,4.07,-24.74,36.33,0.00,1.02,2.41,1,0.42,0.07,0.93,-0.43,-1.95,-1.34,
1783262409.341,0.278,hunch,4.08,-24.78,36.30,0.00,1.01,2.89,1,0.42,0.07,0.92,-0.37,-2.62,-1.16,
1783262409.361,0.298,hunch,4.08,-24.84,36.27,0.00,1.01,3.14,0,0.43,0.07,0.91,-0.43,-2.99,-0.85,
1783262409.381,0.318,hunch,4.08,-24.90,36.26,0.00,1.01,3.04,0,0.43,0.06,0.91,-0.18,-2.99,-0.55,
