wall_time,elapsed_s,mode,roll_deg,pitch_deg,yaw_deg,speed_mps,accel_g,gyro_dps,stationary,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,alerts
1783262713.023,0.000,hunch_walk,11.88,-50.02,-153.26,0.05,0.99,6.63,0,0.77,0.12,0.60,-2.62,5.00,-3.48,
1783262713.041,0.018,hunch_walk,11.84,-49.91,-153.30,0.05,0.99,5.92,0,0.76,0.11,0.62,-1.28,5.24,-2.44,
1783262713.061,0.038,hunch_walk,11.89,-49.79,-153.33,0.05,1.01,5.28,0,0.76,0.16,0.64,-0.12,4.88,-2.01,
1783262713.081,0.058,hunch_walk,12.02,-49.70,-153.36,0.04,1.03,4.45,0,0.78,0.20,0.63,-0.06,4.09,-1.77,
1783262713.102,0.079,hunch_walk,12.08,-49.62,-153.32,0.03,1.02,5.19,0,0.79,0.19,0.62,-0.85,5.12,0.06,
1783262713.121,0.098,hunch_walk,11.99,-49.52,-153.21,0.03,1.01,6.73,0,0.77,0.14,0.63,-1.22,6.10,2.56,
1783262713.141,0.118,hunch_walk,11.78,-49.41,-153.05,0.03,0.99,7.51,0,0.75,0.10,0.64,-1.52,6.34,3.72,
1783262713.161,0.138,hunch_walk,11.56,-49.32,-152.94,0.04,0.99,6.92,0,0.76,0.07,0.63,-1.52,6.22,2.62,
1783262713.181,0.158,hunch_walk,11.37,-49.21,-152.90,0.06,0.99,7.03,0,0.76,0.06,0.62,-1.40,6.89,-0.12,
1783262713.202,0.179,hunch_walk,11.31,-49.09,-152.96,0.07,0.98,7.89,0,0.76,0.07,0.61,-0.24,7.13,-3.35,
1783262713.221,0.198,hunch_walk,11.36,-48.96,-153.07,0.07,0.98,9.60,0,0.76,0.10,0.61,0.67,7.80,-5.55,
1783262713.241,0.218,hunch_walk,11.49,-48.81,-153.20,0.07,0.99,11.01,0,0.78,0.13,0.61,1.22,9.21,-5.91,
1783262713.261,0.238,hunch_walk,11.58,-48.60,-153.30,0.07,0.99,12.04,0,0.76,0.13,0.63,0.49,10.61,-5.67,
1783262713.281,0.258,hunch_walk,11.61,-48.38,-153.39,0.08,1.00,11.67,0,0.75,0.11,0.65,0.00,10.49,-5.12,
1783262713.302,0.279,hunch_walk,11.60,-48.13,-153.45,0.08,0.99,11.24,0,0.72,0.11,0.67,0.12,10.43,-4.21,
1783262713.321,0.298,hunch_walk,11.62,-47.87,-153.51,0.08,0.98,9.97,0,0.69,0.12,0.69,0.98,9.15,-3.84,
1783262713.341,0.318,hunch_walk,11.71,-47.66,-153.59,0.08,1.00,8.44,0,0.71,0.14,0.69,1.83,7.01,-4.33,
1783262713.361,0.338,hunch_walk,11.88,-47.51,-153.70,0.08,1.02,7.59,0,0.74,0.18,0.68,2.07,5.49,-4.82,
1783262713.381,0.358,hunch_walk,12.08,-47.37,-153.76,0.06,1.02,6.99,0,0.74,0.21,0.67,2.26,5.67,-3.41,
1783262713.401,0.378,hunch_walk,12.23,-47.22,-153.72,0.05,0.99,6.11,0,0.71,0.23,0.66,2.26,5.67,0.18,
1783262713.421,0.399,hunch_walk,12.29,-47.11,-153.56,0.03,1.00,7.09,0,0.71,0.22,0.66,2.07,5.06,4.51,
1783262713.441,0.418,hunch_walk,12.22,-47.05,-153.30,0.02,1.01,9.51,0,0.73,0.21,0.67,1.52,4.39,8.29,
1783262713.461,0.438,hunch_walk,12.02,-47.01,-152.97,0.02,1.01,11.46,0,0.74,0.16,0.67,0.79,4.27,10.61,
1783262713.481,0.458,hunch_walk,11.70,-46.94,-152.63,0.03,1.00,11.66,0,0.72,0.10,0.69,0.30,4.70,10.67,
1783262713.501,0.478,hunch_walk,11.40,-46.87,-152.37,0.05,1.00,9.14,0,0.72,0.07,0.70,0.30,3.84,8.29,
1783262713.522,0.499,hunch_walk,11.20,-46.79,-152.23,0.06,1.01,5.23,0,0.72,0.07,0.70,0.24,3.17,4.15,
1783262713.541,0.518,hunch_walk,11.11,-46.73,-152.20,0.07,1.01,2.33,0,0.72,0.10,0.70,0.00,2.20,0.79,
1783262713.561,0.538,hunch_walk,11.11,-46.69,-152.20,0.07,1.01,1.45,1,0.73,0.13,0.69,-0.12,1.40,-0.37,
1783262713.581,0.558,hunch_walk,11.13,-46.66,-152.18,0.06,1.00,1.04,1,0.72,0.16,0.68,-0.30,0.73,0.67,
1783262713.601,0.578,hunch_walk,11.09,-46.65,-152.10,0.06,1.00,2.73,1,0.72,0.15,0.68,-0.49,0.00,2.68,
1783262713.621,0.598,hunch_walk,10.96,-46.68,-151.99,0.07,1.01,4.21,0,0.73,0.11,0.69,-0.61,-1.28,3.96,
1783262713.641,0.619,hunch_walk,10.81,-46.73,-151.89,0.07,1.02,4.17,0,0.74,0.09,0.69,-0.06,-1.77,3.78,
1783262713.661,0.638,hunch_walk,10.73,-46.78,-151.85,0.08,1.01,3.13,0,0.74,0.09,0.69,0.37,-2.32,2.07,
1783262713.681,0.658,hunch_walk,10.71,-46.85,-151.86,0.08,1.00,2.50,1,0.74,0.11,0.67,0.06,-2.50,-0.06,
1783262713.701,0.678,hunch_walk,10.73,-46.90,-151.89,0.08,1.00,1.88,1,0.74,0.12,0.66,-0.18,-1.77,-0.61,
1783262713.721,0.698,hunch_walk,10.72,-46.93,-151.89,0.08,0.99,1.07,1,0.73,0.12,0.66,0.24,-1.04,0.12,
1783262713.741,0.718,hunch_walk,10.72,-46.95,-151.89,0.08,0.99,1.06,1,0.72,0.12,0.67,0.12,-1.04,0.18,
1783262713.761,0.739,hunch_walk,10.72,-46.96,-151.92,0.08,1.00,1.56,1,0.72,0.12,0.68,0.06,-1.34,-0.79,
1783262713.781,0.758,hunch_walk,10.74,-46.96,-152.00,0.09,1.01,2.87,1,0.72,0.12,0.69,-0.37,-1.89,-2.13,
1783262713.801,0.778,hunch_walk,10.78,-46.98,-152.09,0.09,1.00,3.88,0,0.72,0.12,0.69,-0.55,-2.74,-2.68,
1783262713.821,0.798,hunch_walk,10.84,-47.03,-152.17,0.09,1.00,4.44,0,0.72,0.13,0.68,-0.55,-3.78,-2.26,
1783262713.841,0.818,hunch_walk,10.88,-47.12,-152.24,0.09,1.00,4.66,0,0.74,0.13,0.66,-0.37,-4.39,-1.52,
