wall_time,elapsed_s,mode,roll_deg,pitch_deg,yaw_deg,speed_mps,accel_g,gyro_dps,stationary,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,alerts
1783262246.885,0.000,straight,1.43,-7.45,-44.06,0.66,1.01,2.94,1,0.13,0.03,1.00,1.28,0.67,2.56,
1783262246.901,0.017,straight,1.44,-7.44,-44.01,0.66,1.01,2.99,1,0.13,0.02,1.01,0.98,0.67,2.74,
1783262246.921,0.037,straight,1.44,-7.42,-43.95,0.66,1.02,2.94,1,0.12,0.02,1.01,1.04,0.61,2.68,
1783262246.941,0.057,straight,1.45,-7.40,-43.91,0.66,1.02,2.66,1,0.12,0.02,1.01,1.16,0.24,2.38,
1783262246.961,0.077,straight,1.46,-7.39,-43.86,0.66,1.02,2.32,1,0.12,0.02,1.01,1.04,0.06,2.07,
1783262246.981,0.097,straight,1.46,-7.38,-43.82,0.67,1.03,2.31,0,0.11,0.01,1.02,1.10,-0.55,1.95,
1783262247.001,0.117,straight,1.46,-7.40,-43.80,0.67,1.03,2.18,0,0.12,0.01,1.02,1.22,-1.22,1.34,
1783262247.021,0.137,straight,1.49,-7.44,-43.78,0.67,1.02,2.28,1,0.14,0.03,1.01,1.46,-1.40,1.04,
1783262247.041,0.157,straight,1.53,-7.47,-43.75,0.67,1.01,1.87,1,0.15,0.04,1.00,1.22,-0.61,1.28,
1783262247.061,0.177,straight,1.55,-7.48,-43.71,0.67,1.01,2.29,1,0.14,0.03,1.00,0.98,0.12,2.07,
1783262247.081,0.197,straight,1.55,-7.47,-43.66,0.67,1.01,2.87,1,0.13,0.02,1.01,1.16,0.18,2.62,
1783262247.101,0.217,straight,1.56,-7.46,-43.61,0.67,1.01,2.84,1,0.12,0.02,1.01,1.34,-0.12,2.50,
1783262247.121,0.237,straight,1.58,-7.46,-43.57,0.67,1.01,2.55,1,0.12,0.02,1.00,1.28,-0.55,2.13,
1783262247.141,0.257,straight,1.58,-7.48,-43.54,0.67,1.01,2.06,1,0.13,0.02,1.01,0.79,-1.28,1.40,
1783262247.161,0.277,straight,1.58,-7.51,-43.53,0.67,1.02,1.72,1,0.14,0.02,1.01,0.67,-1.52,0.43,
1783262247.181,0.297,straight,1.59,-7.54,-43.53,0.67,1.02,1.31,1,0.14,0.02,1.01,0.61,-1.16,0.06,
1783262247.201,0.317,straight,1.60,-7.56,-43.53,0.67,1.01,1.22,1,0.13,0.02,1.00,0.79,-0.91,0.18,
1783262247.221,0.337,straight,1.61,-7.58,-43.52,0.67,1.02,1.71,1,0.13,0.02,1.01,1.22,-1.16,0.30,
1783262247.241,0.357,straight,1.63,-7.61,-43.52,0.67,1.03,1.56,1,0.14,0.02,1.02,1.16,-1.04,-0.12,
1783262247.261,0.377,straight,1.64,-7.64,-43.53,0.68,1.02,1.47,1,0.14,0.02,1.01,1.04,-0.98,-0.37,
1783262247.281,0.397,straight,1.65,-7.65,-43.55,0.67,1.01,1.39,1,0.14,0.02,1.00,0.98,-0.67,-0.73,
1783262247.301,0.417,straight,1.67,-7.66,-43.58,0.67,1.01,1.94,1,0.13,0.02,1.00,1.04,-0.61,-1.52,
1783262247.321,0.437,straight,1.69,-7.67,-43.62,0.67,1.01,2.54,1,0.13,0.02,1.00,1.28,-0.73,-2.07,
1783262247.341,0.457,straight,1.72,-7.68,-43.67,0.67,1.01,2.70,1,0.14,0.03,1.00,1.10,-0.85,-2.32,
1783262247.361,0.477,straight,1.76,-7.70,-43.71,0.67,1.01,2.40,1,0.14,0.04,1.00,1.16,-0.79,-1.95,
1783262247.381,0.497,straight,1.79,-7.71,-43.73,0.66,1.01,1.67,1,0.14,0.04,1.00,1.10,-0.49,-1.16,
1783262247.401,0.517,straight,1.82,-7.72,-43.74,0.66,1.01,1.23,1,0.14,0.04,1.00,1.10,-0.37,-0.43,
1783262247.421,0.537,straight,1.85,-7.73,-43.74,0.66,1.02,1.24,1,0.14,0.03,1.01,1.16,-0.43,-0.12,
1783262247.441,0.557,straight,1.87,-7.74,-43.74,0.67,1.02,1.23,1,0.14,0.03,1.01,1.22,-0.12,0.00,
1783262247.461,0.577,straight,1.89,-7.74,-43.75,0.00,1.02,1.01,1,0.13,0.03,1.01,0.98,-0.06,-0.24,
1783262247.481,0.597,straight,1.89,-7.74,-43.76,0.00,1.02,0.90,1,0.14,0.02,1.01,0.79,-0.06,-0.43,
1783262247.501,0.617,straight,1.89,-7.75,-43.78,0.00,1.02,1.45,1,0.14,0.02,1.01,0.73,-0.49,-1.16,
1783262247.521,0.637,straight,1.90,-7.76,-43.81,0.00,1.02,1.87,1,0.14,0.02,1.01,0.67,-0.37,-1.71,
1783262247.541,0.657,straight,1.92,-7.76,-43.86,0.00,1.02,2.39,1,0.13,0.03,1.01,0.98,-0.67,-2.07,
1783262247.561,0.677,straight,1.95,-7.77,-43.90,0.00,1.01,2.45,1,0.13,0.04,1.00,1.04,-0.79,-2.07,
1783262247.581,0.697,straight,1.97,-7.79,-43.93,0.00,1.01,2.07,1,0.14,0.03,1.00,0.85,-0.79,-1.71,
1783262247.601,0.717,straight,1.99,-7.81,-43.97,0.00,1.02,1.92,1,0.14,0.03,1.01,0.73,-0.79,-1.59,
1783262247.621,0.737,straight,2.02,-7.83,-44.01,0.00,1.02,2.31,1,0.14,0.04,1.01,0.91,-0.67,-2.01,
1783262247.641,0.757,straight,2.06,-7.85,-44.04,0.00,1.02,2.15,1,0.14,0.05,1.01,0.98,-0.98,-1.65,
1783262247.661,0.777,straight,2.10,-7.86,-44.06,0.00,1.01,1.46,1,0.14,0.05,1.00,1.10,-0.55,-0.79,
1783262247.681,0.797,straight,2.14,-7.88,-44.05,0.00,1.01,1.30,1,0.14,0.05,1.00,1.10,-0.55,0.43,
1783262247.701,0.817,straight,2.16,-7.89,-44.03,0.00,1.01,1.42,1,0.14,0.04,1.00,0.98,-0.06,1.04,
1783262247.721,0.837,straight,2.17,-7.89,-44.01,0.00,1.01,1.27,1,0.14,0.04,1.00,0.73,-0.12,1.04,
1783262247.741,0.857,straight,2.18,-7.90,-43.99,0.00,1.02,0.96,1,0.13,0.04,1.01,0.30,-0.55,0.73,
1783262247.761,0.877,straight,2.19,-7.90,-43.98,0.00,1.02,0.88,1,0.13,0.04,1.01,0.00,-0.73,0.49,
1783262247.781,0.897,straight,2.18,-7.91,-43.96,0.01,1.03,1.61,0,0.13,0.04,1.02,-0.18,-1.22,1.04,
1783262247.801,0.917,straight,2.18,-7.94,-43.94,0.01,1.02,2.39,1,0.14,0.04,1.01,0.06,-1.89,1.46,
