wall_time,elapsed_s,mode,roll_deg,pitch_deg,yaw_deg,speed_mps,accel_g,gyro_dps,stationary,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,alerts
1783262468.063,0.000,straight_walk,1.80,-18.51,31.29,0.77,1.00,11.95,0,0.32,0.05,0.95,-0.24,-2.07,11.77,
1783262468.081,0.018,straight_walk,1.73,-18.54,31.52,0.77,0.99,11.06,0,0.31,0.04,0.94,-0.67,-1.65,10.91,
1783262468.101,0.038,straight_walk,1.67,-18.56,31.75,0.76,0.99,11.14,0,0.30,0.04,0.94,-0.06,-1.52,11.04,
1783262468.121,0.058,straight_walk,1.63,-18.59,32.02,0.76,1.00,12.71,0,0.31,0.05,0.94,0.61,-1.34,12.62,
1783262468.141,0.078,straight_walk,1.58,-18.65,32.33,0.76,0.99,14.91,0,0.34,0.04,0.93,1.83,-1.04,14.76,
1783262468.161,0.098,straight_walk,1.55,-18.70,32.70,0.75,0.99,17.61,0,0.35,0.04,0.92,3.17,0.06,17.32,
1783262468.181,0.118,straight_walk,1.56,-18.74,33.12,0.75,1.02,20.70,0,0.37,0.07,0.95,4.63,1.46,20.12,
1783262468.201,0.138,straight_walk,1.59,-18.73,33.61,0.76,1.03,23.86,0,0.36,0.09,0.96,5.55,3.17,22.99,
1783262468.221,0.158,straight_walk,1.58,-18.70,34.15,0.76,1.02,26.78,0,0.37,0.07,0.95,6.10,4.94,25.61,
1783262468.241,0.178,straight_walk,1.55,-18.63,34.75,0.76,0.99,30.07,0,0.36,0.03,0.93,7.26,6.89,28.35,
1783262468.261,0.198,straight_walk,1.51,-18.51,35.39,0.75,0.98,32.15,0,0.34,0.02,0.92,8.11,8.66,29.88,
1783262468.281,0.218,straight_walk,1.45,-18.33,36.03,0.75,0.99,33.03,0,0.32,0.01,0.94,8.23,10.24,30.30,
1783262468.301,0.238,straight_walk,1.36,-18.10,36.65,0.74,0.98,32.06,0,0.29,-0.02,0.94,7.62,11.28,29.02,
